goos: linux
goarch: amd64
pkg: github.com/kamichidu/go-regexp-re/internal/benchmark
cpu: Intel(R) Xeon(R) CPU @ 2.80GHz
BenchmarkSynthetic/SIMDWarp-2                                         	   31189	     36495 ns/op	29796.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkSynthetic/SIMDWarp-2                                         	   33997	     35292 ns/op	30812.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkNFAWorstCase-2                                               	      21	  53979048 ns/op	  19.43 MB/s	     305 B/op	       0 allocs/op
BenchmarkNFAWorstCase-2                                               	      21	  53012323 ns/op	  19.78 MB/s	     305 B/op	       0 allocs/op
BenchmarkNFAWorstCase-2                                               	      21	  52878761 ns/op	  19.83 MB/s	      12 B/op	       0 allocs/op
BenchmarkNFAWorstCase-2                                               	      21	  53150658 ns/op	  19.73 MB/s	      12 B/op	       0 allocs/op
BenchmarkNFAWorstCase-2                                               	      20	  53179236 ns/op	  19.72 MB/s	      13 B/op	       0 allocs/op
BenchmarkNFAWorstCase-2                                               	      21	  55826849 ns/op	  18.78 MB/s	     305 B/op	       0 allocs/op
PASS
ok  	github.com/kamichidu/go-regexp-re/internal/benchmark	176.090s
